timestamp,raw_x,raw_y,raw_z,smoothed_x,smoothed_y,smoothed_z,valid
1783696155.171894,-0.082162,0.152596,-0.251859,-0.082674,0.150680,-0.249654,1
1783696155.2062945,-0.082353,0.149081,-0.251022,-0.082593,0.150280,-0.249996,1
1783696155.2403047,-0.082253,0.153046,-0.248318,-0.082508,0.150972,-0.249576,1
1783696155.2754955,-0.083244,0.150686,-0.249261,-0.082692,0.150900,-0.249497,1
1783696155.310531,-0.083674,0.151671,-0.249718,-0.082938,0.151093,-0.249553,1
1783696155.3450048,-0.083551,0.151027,-0.248252,-0.083091,0.151076,-0.249227,1
1783696155.3791752,-0.083391,0.149523,-0.248744,-0.083166,0.150688,-0.249106,1
1783696155.4139123,-0.085009,0.147523,-0.248971,-0.083627,0.149897,-0.249073,1
1783696155.4489136,-0.084871,0.147152,-0.249138,-0.083938,0.149211,-0.249089,1
1783696155.4855783,-0.084275,0.147293,-0.249292,-0.084022,0.148731,-0.249140,1
1783696155.5201528,-0.085182,0.149346,-0.250312,-0.084312,0.148885,-0.249433,1
1783696155.5551786,-0.084385,0.148426,-0.251880,-0.084330,0.148770,-0.250045,1
1783696155.5899858,-0.072867,0.151948,-0.247327,-0.081464,0.149565,-0.249365,1
1783696155.626239,-0.072189,0.150297,-0.245251,-0.079146,0.149748,-0.248337,1
1783696155.6612055,-0.069713,0.153319,-0.243407,-0.076787,0.150641,-0.247104,1
1783696155.695346,-0.070178,0.152982,-0.242900,-0.075135,0.151226,-0.246053,1
1783696155.7298703,-0.071323,0.155491,-0.243177,-0.074182,0.152292,-0.245334,1
1783696155.7640784,-0.070450,0.153365,-0.243747,-0.073249,0.152560,-0.244937,1
1783696155.7983305,-0.069802,0.152662,-0.244538,-0.072387,0.152586,-0.244837,1
1783696155.8337686,-0.068469,0.152072,-0.243901,-0.071408,0.152457,-0.244603,1
1783696155.8685822,-0.067635,0.153427,-0.244263,-0.070464,0.152700,-0.244518,1
1783696155.9027538,-0.070433,0.154792,-0.244921,-0.070456,0.153223,-0.244619,1
1783696155.9379308,-0.068629,0.152652,-0.245045,-0.069999,0.153080,-0.244725,1
1783696155.9730697,-0.070241,0.155545,-0.245650,-0.070060,0.153696,-0.244956,1
1783696156.0073903,-0.066103,0.153216,-0.244890,-0.069070,0.153576,-0.244940,1
1783696156.0417588,-0.069599,0.155230,-0.244772,-0.069203,0.153990,-0.244898,1
1783696156.0760186,-0.068207,0.155700,-0.243027,-0.068954,0.154417,-0.244430,1
1783696156.1096754,-0.067146,0.154633,-0.244096,-0.068502,0.154471,-0.244347,1
1783696156.1437225,-0.068210,0.151874,-0.246072,-0.068429,0.153822,-0.244778,1
1783696156.177586,-0.065182,0.153655,-0.244177,-0.067617,0.153780,-0.244628,1
1783696156.2120516,-0.065296,0.151751,-0.245734,-0.067037,0.153273,-0.244904,1
1783696156.2465065,-0.064917,0.154297,-0.243392,-0.066507,0.153529,-0.244526,1
1783696156.2809834,-0.065883,0.152148,-0.244306,-0.066351,0.153184,-0.244471,1
1783696156.3158827,-0.069154,0.154929,-0.242593,-0.067052,0.153620,-0.244002,1
1783696156.350788,-0.075162,0.157219,-0.243414,-0.069079,0.154520,-0.243855,1
1783696156.3851774,-0.082259,0.156787,-0.245154,-0.072374,0.155087,-0.244180,1
1783696156.4198086,-0.086307,0.158080,-0.245251,-0.075857,0.155835,-0.244447,1
1783696156.454511,-0.086441,0.151602,-0.247933,-0.078503,0.154777,-0.245319,1
1783696156.4911494,-0.090035,0.152834,-0.247763,-0.081386,0.154291,-0.245930,1
1783696156.5274186,-0.089255,0.153413,-0.248132,-0.083353,0.154072,-0.246480,1
1783696156.56124,-0.087801,0.157258,-0.246749,-0.084465,0.154868,-0.246548,1
1783696156.596281,-0.085483,0.160053,-0.247114,-0.084720,0.156164,-0.246689,1
1783696156.6306548,-0.085495,0.160288,-0.247233,-0.084914,0.157195,-0.246825,1
1783696156.6649244,-0.090697,0.154610,-0.246960,-0.086359,0.156549,-0.246859,1
1783696156.699174,-0.090561,0.157010,-0.246468,-0.087410,0.156664,-0.246761,1
1783696156.734833,-0.088872,0.154939,-0.247364,-0.087775,0.156233,-0.246912,1
1783696156.7690897,-0.087006,0.155642,-0.247936,-0.087583,0.156085,-0.247168,1
1783696156.8023016,-0.086496,0.156686,-0.248137,-0.087311,0.156236,-0.247410,1
1783696156.835743,-0.084124,0.157683,-0.248179,-0.086514,0.156597,-0.247602,1
1783696156.8711455,-0.083165,0.158122,-0.248204,-0.085677,0.156979,-0.247753,1
1783696156.9052815,-0.082357,0.161389,-0.247773,-0.084847,0.158081,-0.247758,1
1783696156.9405196,-0.080495,0.161621,-0.247419,-0.083759,0.158966,-0.247673,1
1783696156.9754353,-0.079936,0.160651,-0.246927,-0.082803,0.159387,-0.247487,1
1783696157.010507,-0.080065,0.167099,-0.244553,-0.082119,0.161315,-0.246753,1
1783696157.04516,-0.077566,0.165893,-0.243631,-0.080981,0.162460,-0.245973,1
1783696157.3186517,-0.073340,0.154518,-0.249241,-0.079071,0.160474,-0.246790,1
1783696157.4544451,-0.083729,0.156799,-0.247586,-0.080235,0.159556,-0.246989,1
1783696157.5233467,-0.079450,0.162933,-0.244858,-0.080039,0.160400,-0.246456,1
1783696157.6274726,-0.076577,0.157278,-0.249919,-0.079173,0.159619,-0.247322,1
1783696158.1060476,-0.076822,0.160492,-0.249690,-0.078585,0.159837,-0.247914,1
1783696158.2790127,-0.075547,0.161091,-0.250178,-0.077826,0.160151,-0.248480,1
1783696158.3497965,-0.079737,0.162699,-0.249706,-0.078304,0.160788,-0.248786,1
1783696158.383484,-0.079246,0.160090,-0.249755,-0.078539,0.160613,-0.249029,1
1783696158.4177868,-0.077702,0.159693,-0.250184,-0.078330,0.160383,-0.249318,1
1783696158.4521594,-0.078718,0.158841,-0.248663,-0.078427,0.159998,-0.249154,1
1783696158.4858086,-0.080123,0.161621,-0.248688,-0.078851,0.160404,-0.249037,1
1783696158.520063,-0.085937,0.162921,-0.246889,-0.080622,0.161033,-0.248500,1
1783696158.555336,-0.082695,0.160366,-0.247417,-0.081140,0.160866,-0.248230,1
1783696158.5889993,-0.081863,0.161716,-0.247442,-0.081321,0.161079,-0.248033,1
1783696158.624035,-0.083222,0.158851,-0.249424,-0.081796,0.160522,-0.248381,1
1783696158.657633,-0.083183,0.159157,-0.249333,-0.082143,0.160181,-0.248619,1
1783696158.691182,-0.082904,0.157876,-0.248939,-0.082333,0.159604,-0.248699,1
1783696158.7248504,-0.082155,0.158629,-0.249150,-0.082289,0.159361,-0.248812,1
1783696158.7595427,-0.081403,0.158803,-0.249402,-0.082067,0.159221,-0.248959,1
1783696158.7937336,-0.082558,0.152066,-0.251983,-0.082190,0.157433,-0.249715,1
1783696158.827648,-0.079760,0.154118,-0.253772,-0.081583,0.156604,-0.250729,1
1783696158.861821,-0.078686,0.158209,-0.252288,-0.080858,0.157005,-0.251119,1
1783696158.8966835,-0.078133,0.160575,-0.251860,-0.080177,0.157898,-0.251304,1
1783696158.9307423,-0.078274,0.165289,-0.248650,-0.079701,0.159745,-0.250641,1
1783696158.965848,-0.077400,0.163228,-0.249228,-0.079126,0.160616,-0.250287,1
1783696159.0001597,-0.078922,0.167432,-0.248318,-0.079075,0.162320,-0.249795,1
1783696159.034272,-0.080320,0.166683,-0.247794,-0.079386,0.163411,-0.249295,1
1783696159.0681524,-0.076442,0.169151,-0.246867,-0.078650,0.164846,-0.248688,1
1783696159.1021495,-0.078819,0.169339,-0.245893,-0.078692,0.165969,-0.247989,1
1783696159.1368275,-0.077704,0.166636,-0.248195,-0.078445,0.166136,-0.248041,1
1783696159.1703236,-0.079154,0.171369,-0.244400,-0.078622,0.167444,-0.247130,1
1783696159.2039292,-0.081099,0.167212,-0.247724,-0.079242,0.167386,-0.247279,1
1783696159.238058,-0.084091,0.167386,-0.245590,-0.080454,0.167386,-0.246856,1
1783696159.272259,-0.081253,0.169847,-0.247332,-0.080654,0.168001,-0.246975,1
1783696159.3063939,-0.080935,0.166868,-0.247212,-0.080724,0.167718,-0.247035,1
1783696159.340874,-0.081335,0.168749,-0.246115,-0.080877,0.167976,-0.246805,1
1783696159.3753982,-0.079996,0.169506,-0.247740,-0.080657,0.168358,-0.247039,1
1783696159.4093997,-0.082602,0.169169,-0.247082,-0.081143,0.168561,-0.247049,1
1783696159.4436684,-0.080543,0.167512,-0.248941,-0.080993,0.168299,-0.247522,1
1783696159.4782555,-0.082140,0.168722,-0.247251,-0.081280,0.168405,-0.247455,1
1783696159.5126076,-0.082942,0.166153,-0.249794,-0.081695,0.167842,-0.248039,1
1783696159.5808508,-0.084484,0.164872,-0.247681,-0.082392,0.167099,-0.247950,1
1783696159.616195,-0.083608,0.162740,-0.248080,-0.082696,0.166009,-0.247982,1
1783696159.6507473,-0.084766,0.165608,-0.248425,-0.083214,0.165909,-0.248093,1
1783696159.6843572,-0.086904,0.167683,-0.245290,-0.084136,0.166352,-0.247392,1
1783696159.7186098,-0.087474,0.169126,-0.244057,-0.084971,0.167046,-0.246558,1
1783696159.752892,-0.090876,0.163910,-0.244343,-0.086447,0.166262,-0.246004,1
1783696159.7966747,-0.091533,0.163899,-0.243916,-0.087719,0.165671,-0.245482,1
1783696159.8443496,-0.089287,0.159302,-0.245812,-0.088111,0.164079,-0.245565,1
1783696159.8827689,-0.089915,0.157080,-0.248316,-0.088562,0.162329,-0.246253,1
1783696159.9174337,-0.091714,0.152490,-0.250251,-0.089350,0.159869,-0.247252,1
1783696159.9515843,-0.091752,0.153183,-0.249230,-0.089950,0.158198,-0.247747,1
1783696159.985184,-0.091827,0.151272,-0.250216,-0.090419,0.156466,-0.248364,1
1783696160.018805,-0.092751,0.151882,-0.250098,-0.091002,0.155320,-0.248798,1
1783696160.0531876,-0.092825,0.149336,-0.251056,-0.091458,0.153824,-0.249362,1
1783696160.0876184,-0.083280,0.153559,-0.252493,-0.089414,0.153758,-0.250145,1
1783696160.1216555,-0.084748,0.150549,-0.253187,-0.088247,0.152956,-0.250905,1
1783696160.1561575,-0.084276,0.148652,-0.255205,-0.087255,0.151880,-0.251980,1
1783696160.1900234,-0.081986,0.154851,-0.252467,-0.085937,0.152622,-0.252102,1
1783696160.223067,-0.082118,0.153105,-0.252183,-0.084983,0.152743,-0.252122,1
1783696160.2565205,-0.082473,0.152615,-0.253112,-0.084355,0.152711,-0.252370,1
1783696160.2905943,-0.081918,0.155368,-0.250939,-0.083746,0.153375,-0.252012,1
1783696160.3241382,-0.084457,0.156393,-0.250983,-0.083924,0.154130,-0.251755,1
1783696160.3574479,-0.085109,0.157435,-0.250099,-0.084220,0.154956,-0.251341,1
1783696160.3907678,-0.086243,0.156290,-0.249413,-0.084726,0.155289,-0.250859,1
1783696160.4242406,-0.087018,0.152813,-0.249894,-0.085299,0.154670,-0.250618,1
1783696160.457551,-0.086675,0.152326,-0.249571,-0.085643,0.154084,-0.250356,1
1783696160.4915717,-0.085797,0.154471,-0.249439,-0.085681,0.154181,-0.250127,1
1783696160.5270007,-0.085614,0.153822,-0.249873,-0.085665,0.154091,-0.250063,1
1783696160.560538,-0.084100,0.153558,-0.249483,-0.085273,0.153958,-0.249918,1
1783696160.594862,-0.082109,0.155259,-0.247643,-0.084482,0.154283,-0.249349,1
1783696160.6963506,-0.082061,0.153836,-0.249866,-0.083877,0.154171,-0.249479,1
1783696160.7634423,-0.084205,0.156453,-0.249725,-0.083959,0.154742,-0.249540,1
1783696160.7977936,-0.083475,0.150843,-0.251625,-0.083838,0.153767,-0.250061,1
1783696160.8322456,-0.088922,0.148679,-0.252918,-0.085109,0.152495,-0.250776,1
1783696160.866535,-0.090170,0.148339,-0.254677,-0.086374,0.151456,-0.251751,1
1783696160.900728,-0.088260,0.148117,-0.253647,-0.086846,0.150621,-0.252225,1
1783696160.9343348,-0.089455,0.150955,-0.249695,-0.087498,0.150705,-0.251593,1
1783696160.9683256,-0.091021,0.150389,-0.249261,-0.088379,0.150626,-0.251010,1
1783696161.002475,-0.092452,0.151727,-0.249780,-0.089397,0.150901,-0.250702,1
1783696161.0365026,-0.097213,0.150039,-0.246839,-0.091351,0.150686,-0.249736,1
1783696161.0707579,-0.096349,0.149555,-0.247612,-0.092601,0.150403,-0.249205,1
1783696161.104983,-0.095176,0.146749,-0.250107,-0.093245,0.149489,-0.249431,1
1783696161.1389446,-0.093229,0.146855,-0.254168,-0.093241,0.148831,-0.250615,1
1783696161.1732473,-0.092337,0.145088,-0.254409,-0.093015,0.147895,-0.251563,1
1783696161.2071211,-0.094181,0.147690,-0.253964,-0.093306,0.147844,-0.252164,1
1783696161.2411988,-0.092192,0.144559,-0.255821,-0.093028,0.147023,-0.253078,1
